time,wds,sp,t2m,wds_scaled,hour,month,date,dayofweek,dayofyear
2021-01-01 00:00:00,2.3489874851664685,-0.6868927417751028,-1.349513384795453,0.2130436565070989,0,1,2021-01-01,4,1
2021-01-01 01:00:00,2.372206446449577,-0.6928931363580205,-1.3236048063358994,0.2598579580457974,1,1,2021-01-01,4,1
2021-01-01 02:00:00,2.35047175890374,-0.6898894545168613,-1.307942069850173,0.2638252717355176,2,1,2021-01-01,4,1
2021-01-01 03:00:00,2.3161041192462224,-0.6968933994132991,-1.293102891548422,0.2512885604760017,3,1,2021-01-01,4,1
2021-01-01 04:00:00,2.347255867154165,-0.7259022756634308,-1.284856501858518,0.2308172218370454,4,1,2021-01-01,4,1
2021-01-01 05:00:00,2.3325015291341185,-0.7068940570514699,-1.2264411524024794,0.2168522776492303,5,1,2021-01-01,4,1
2021-01-01 06:00:00,2.1689888956716423,-0.6788869888400016,-1.2444589194431548,0.2395453119544299,6,1,2021-01-01,4,1
2021-01-01 07:00:00,2.136536445334348,-0.6318542792680829,-1.2704896266097792,0.2271672932425028,7,1,2021-01-01,4,1
2021-01-01 08:00:00,2.369301626571045,-0.5968345547859195,-1.1120822088273314,0.2320867622177559,8,1,2021-01-01,4,1
2021-01-01 09:00:00,2.783941357441814,-0.5958414581215133,-0.9597995997437933,0.2160588149112862,9,1,2021-01-01,4,1
2021-01-01 10:00:00,3.560351950351049,-0.5518228840398426,-0.7834933012726818,0.2522407157615345,10,1,2021-01-01,4,1
2021-01-01 11:00:00,4.8247002739116605,-0.6378651275000893,-0.6448739763909466,0.2706490512818364,11,1,2021-01-01,4,1
2021-01-01 12:00:00,4.364393640597238,-0.7409206848692019,-0.6373355008880532,0.3011180204188876,12,1,2021-01-01,4,1
2021-01-01 13:00:00,3.7742329004703934,-0.7599114807326733,-0.6458142593568963,0.2241521348383155,13,1,2021-01-01,4,1
2021-01-01 14:00:00,2.937694676595757,-0.7369134527145226,-0.6769052019793664,0.238593156668897,14,1,2021-01-01,4,1
2021-01-01 15:00:00,3.073577371745545,-0.6948897833359468,-0.7433302492062951,0.293342085587036,15,1,2021-01-01,4,1
2021-01-01 16:00:00,2.3181033452483923,-0.6948897833359468,-0.8944348026198479,0.227802063432858,16,1,2021-01-01,4,1
2021-01-01 17:00:00,1.956599681080292,-0.679880085504433,-0.9963085176631781,0.1914614700350209,17,1,2021-01-01,4,1
2021-01-01 18:00:00,1.815560172905728,-0.6548697300346978,-1.124094053521115,0.1159238173827481,18,1,2021-01-01,4,1
2021-01-01 19:00:00,2.1533107650978685,-0.8249506008778895,-1.1863959059030948,0.1419493951873126,19,1,2021-01-01,4,1
2021-01-01 20:00:00,2.1447385505214527,-0.7729262738611175,-1.2331528273663444,0.15162964059023,20,1,2021-01-01,4,1
2021-01-01 21:00:00,2.1211188186272145,-0.7479072070171502,-1.2338618223383704,0.1903506222018992,21,1,2021-01-01,4,1
2021-01-01 22:00:00,2.109864211125787,-0.7679259450420067,-1.166493249790439,0.1528991809709405,22,1,2021-01-01,4,1
2021-01-01 23:00:00,2.1223686304695013,-0.8139394238267724,-1.1529477711556322,0.2068546471511353,23,1,2021-01-01,4,1
2021-01-02 00:00:00,2.027662936918827,-0.8889792016101847,-1.2390431057162774,0.2233586721003714,0,1,2021-01-02,5,2
2021-01-02 01:00:00,1.939191716234529,-0.9470074077595623,-1.3375004593166475,0.1882876190832448,1,1,2021-01-02,5,2
2021-01-02 02:00:00,1.745307963902217,-1.0050321293592521,-1.3357366181667225,0.2030460260090039,2,1,2021-01-02,5,2
2021-01-02 03:00:00,1.7961784462709844,-1.1010750304576948,-1.4152315986203867,0.1989200197716949,3,1,2021-01-02,5,2
2021-01-02 04:00:00,1.9512910787620843,-1.192117602737027,-1.4265387714822189,0.1851137681314686,4,1,2021-01-02,5,2
2021-01-02 05:00:00,2.177702194187858,-1.2001320670463855,-1.415940593592419,0.1321104572368065,5,1,2021-01-02,5,2
2021-01-02 06:00:00,2.214078348362415,-1.2051219422163824,-1.3744816802890507,0.140045084616247,6,1,2021-01-02,5,2
2021-01-02 07:00:00,2.1914915650714653,-1.3301841732140711,-1.3750717889090591,0.1316343795940401,7,1,2021-01-02,5,2
2021-01-02 08:00:00,2.0865072009377803,-1.3001734889252503,-1.0886443049196979,0.2206608987913617,8,1,2021-01-02,5,2
2021-01-02 09:00:00,2.2077048787987064,-1.2301340399609488,-0.8158790243471178,0.1548034915420062,9,1,2021-01-02,5,2
2021-01-02 10:00:00,2.358972627150496,-1.1851136578405892,-0.639100422822994,0.1048153390515315,10,1,2021-01-02,5,2
2021-01-02 11:00:00,2.98203395656366,-1.2731508060039562,-0.60812728576752,0.285883535850362,11,1,2021-01-02,5,2
2021-01-02 12:00:00,3.3237170048233744,-1.3361863100718199,-0.6156625189153604,0.3200024335819558,12,1,2021-01-02,5,2
2021-01-02 13:00:00,4.320888139803151,-1.3471800643744223,-0.6310918058371258,0.3715775115483186,13,1,2021-01-02,5,2
2021-01-02 14:00:00,3.1959434736792005,-1.3361863100718199,-0.6599455234716368,0.3469801666720531,14,1,2021-01-02,5,2
2021-01-02 15:00:00,3.652011723128496,-1.27715803815861,-0.6799692275063477,0.3758622103332163,15,1,2021-01-02,5,2
2021-01-02 16:00:00,3.4179109151596623,-1.2531494907275638,-0.7765438536047812,0.4869469936453822,16,1,2021-01-02,5,2
2021-01-02 17:00:00,2.9258107580649297,-1.1771096471803446,-0.8845423773470211,0.5623259537500663,17,1,2021-01-02,5,2
2021-01-02 18:00:00,2.65154615353812,-1.1080876867283647,-0.9368339988891718,0.4875817638357376,18,1,2021-01-02,5,2
2021-01-02 19:00:00,3.1627233173419453,-1.1140880813112823,-0.9676893303776437,0.3990313222811824,19,1,2021-01-02,5,2
2021-01-02 20:00:00,2.971043941119855,-1.1140880813112823,-1.0131536329589645,0.429976369061,20,1,2021-01-02,5,2
2021-01-02 21:00:00,3.143826053265721,-1.0810650038070704,-1.0125624435539347,0.3517409430997175,21,1,2021-01-02,5,2
2021-01-02 22:00:00,3.330419263356206,-1.0950728935999205,-1.0230449774467758,0.3469801666720532,22,1,2021-01-02,5,2
2021-01-02 23:00:00,3.502312100711113,-1.0940797969354892,-1.0096173043789711,0.3644363469068221,23,1,2021-01-02,5,2
2021-01-03 00:00:00,3.3467998205668668,-1.1581083976677844,-1.0133870825229256,0.3622146512405789,0,1,2021-01-03,6,3
2021-01-03 01:00:00,3.086785600548216,-1.1631087264868951,-1.0180971436328359,0.3896684619734427,1,1,2021-01-03,6,3
2021-01-03 02:00:00,2.781680316366185,-1.1441005078749342,-1.024456482680722,0.4417196175825719,2,1,2021-01-03,6,3
2021-01-03 03:00:00,2.909506492972669,-1.1320962341594112,-1.035294594844595,0.3069896446796735,3,1,2021-01-03,6,3
2021-01-03 04:00:00,2.773565723152911,-1.1441005078749342,-1.0735716770539796,0.3017527906092428,4,1,2021-01-03,6,3
2021-01-03 05:00:00,2.515834070441357,-1.1370965629784966,-1.0937110250856554,0.3253979801999752,5,1,2021-01-03,6,3
2021-01-03 06:00:00,2.2891444602934943,-1.072074865581795,-1.1058395945614197,0.2849313805648291,6,1,2021-01-03,6,3
2021-01-03 07:00:00,1.9959633634702645,-0.9670156921353301,-1.1402301738448692,0.2892160793497269,7,1,2021-01-03,6,3
2021-01-03 08:00:00,2.018352978864689,-0.8849789385549063,-1.0798121297498542,0.216217507458875,8,1,2021-01-03,6,3
2021-01-03 09:00:00,2.789310492101333,-0.8569666435188683,-0.9576790995378147,0.2600166505933862,9,1,2021-01-03,6,3
2021-01-03 10:00:00,3.8892599208817273,-0.8619565186888651,-0.8728839493542319,0.2720772842101356,10,1,2021-01-03,6,3
2021-01-03 11:00:00,4.3639256294940605,-0.9229953757788029,-0.8195288353540388,0.2617622686168631,11,1,2021-01-03,6,3
2021-01-03 12:00:00,4.354847376570293,-1.0110360084918575,-0.7841979731046332,0.313972116773581,12,1,2021-01-03,6,3
2021-01-03 13:00:00,4.234364675780972,-1.0900725647808351,-0.7794889927797446,0.3104808807266273,13,1,2021-01-03,6,3
2021-01-03 14:00:00,3.2009595845358825,-1.048059349051348,-0.8326041725058646,0.3611038034074571,14,1,2021-01-03,6,3
2021-01-03 15:00:00,3.1228782547732727,-1.04005185384139,-0.8945536889718656,0.2754098277095006,15,1,2021-01-03,6,3
2021-01-03 16:00:00,3.2879396708257045,-1.0100324581783375,-0.9976054596851813,0.3193676633916006,16,1,2021-01-03,6,3
2021-01-03 17:00:00,3.708836725230131,-0.9590186505744863,-1.0497792756603361,0.4406087697494503,17,1,2021-01-03,6,3
2021-01-03 18:00:00,3.615334953239188,-0.9169949811958851,-1.0539003089352477,0.4539389437469101,18,1,2021-01-03,6,3
2021-01-03 19:00:00,2.9063377193149527,-0.8519558610506943,-1.0560208091412262,0.4304524467037665,19,1,2021-01-03,6,3
2021-01-03 20:00:00,2.846214401122103,-0.8579667092827006,-1.0531945563182743,0.4261677479188686,20,1,2021-01-03,6,3
2021-01-03 21:00:00,2.4286350364991134,-0.9109841329638788,-1.0628524512421247,0.4107745708027542,21,1,2021-01-03,6,3
2021-01-03 22:00:00,2.451514450595509,-0.8689778863337924,-1.135872448650944,0.3868119961168442,22,1,2021-01-03,6,3
2021-01-03 23:00:00,2.1537056134965264,-0.9079874202221203,-1.1569553220036224,0.3122264987501041,23,1,2021-01-03,6,3
2021-01-04 00:00:00,1.7713877337027315,-0.9850238449834589,-1.2290328748764483,0.2231999795527826,0,1,2021-01-04,0,4
2021-01-04 01:00:00,1.3858799531160122,-1.0060252260236582,-1.3025230137682364,0.1713075164912422,1,1,2021-01-04,0,4
2021-01-04 02:00:00,1.2564799303167289,-1.0130361400194967,-1.3713020107651046,0.1562317244703054,2,1,2021-01-04,0,4
2021-01-04 03:00:00,1.3783905732142854,-1.0240473170705884,-1.38991096721081,0.1224302118338892,3,1,2021-01-04,0,4
2021-01-04 04:00:00,1.5026667104617812,-1.0920761808581623,-1.3537554659924196,0.1148129695496264,4,1,2021-01-04,0,4
2021-01-04 05:00:00,1.560257031316882,-1.139093209956448,-1.3151249670820344,0.1089413452888405,5,1,2021-01-04,0,4
2021-01-04 06:00:00,1.6844062957833097,-1.1461041239522614,-1.3787226807009958,0.0830744600318647,6,1,2021-01-04,0,4
2021-01-04 07:00:00,1.6106324028700032,-1.1881277933308625,-1.3796672868070263,0.1213193640007676,7,1,2021-01-04,0,4
2021-01-04 08:00:00,1.6199349220288728,-1.1230886731856464,-1.1982931873849354,0.1667054326111668,8,1,2021-01-04,0,4
2021-01-04 09:00:00,2.489011582902179,-1.1541011655131304,-0.9554429553348773,0.1738465972526632,9,1,2021-01-04,0,4
2021-01-04 10:00:00,3.747966426303635,-1.211125821348988,-0.8416719588097066,0.2290716038135685,10,1,2021-01-04,0,4
2021-01-04 11:00:00,4.069244754720002,-1.2921677359901491,-0.7866729707966218,0.2698555885438923,11,1,2021-01-04,0,4
2021-01-04 12:00:00,4.204862304265005,-1.390214253165919,-0.7478057799672289,0.3082591850603839,12,1,2021-01-04,0,4
2021-01-04 13:00:00,3.9713767693164335,-1.3631915702446247,-0.7512232221952045,0.2550971816181331,13,1,2021-01-04,0,4
2021-01-04 14:00:00,3.674697267801228,-1.3121777626407736,-0.7882033623825859,0.2946116259677464,14,1,2021-01-04,0,4
2021-01-04 15:00:00,2.98745157099643,-1.2701540932621977,-0.8500329117115535,0.3246045174620312,15,1,2021-01-04,0,4
2021-01-04 16:00:00,2.731679747209312,-1.225133711141838,-0.9751110810985565,0.2844553029220626,16,1,2021-01-04,0,4
2021-01-04 17:00:00,2.472584175009686,-1.173109384125066,-1.1073721477174212,0.2095524204601451,17,1,2021-01-04,0,4
2021-01-04 18:00:00,2.2998753431328622,-1.121085057108294,-1.206655221071804,0.1362364634741155,18,1,2021-01-04,0,4
2021-01-04 19:00:00,2.2023922881596047,-1.0660640173497888,-1.2727257708127167,0.1565491095654831,19,1,2021-01-04,0,4
2021-01-04 20:00:00,2.216059237138549,-1.0240473170705884,-1.3272567789128578,0.1927310104157314,20,1,2021-01-04,0,4
2021-01-04 21:00:00,2.2111002981593804,-0.9840202946699388,-1.3761309582270267,0.1701966686581206,21,1,2021-01-04,0,4
